Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	
ECG_LL-RA_24BIT	ECG_LL-RA_24BIT	System_Timestamp_Plot_Zeroed	ECG_LL-LA_24BIT	ECG_LL-LA_24BIT	Timestamp	Timestamp	ECG_Vx-RL_24BIT	ECG_Vx-RL_24BIT	ECG_LA-RA_24BIT	ECG_LA-RA_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	ECG_EMG_Status2	ECG_EMG_Status2	
CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
mV	no_units	ms	no_units	mV	ms	Ticks	mV	no_units	mV	no_units	no_units	no_units	no_units	no_units	
-174.59506804884293	-2420842.0	269.53125	-2441714.0	-176.10039068465125	116547.4853515625	3819028.0	-573.785686944209	-7955806.0	1.5053226358083054	20872.0	128.0	128.0	128.0	128.0	
-364.10445619874673	-5048478.0	273.4375	-5076734.0	-366.1423249414355	116551.3916015625	3819156.0	-605.0000721216288	-8388608.0	2.0378687426887447	28256.0	128.0	128.0	128.0	128.0	
-580.5788952802295	-8049997.0	277.34375	-8092669.0	-583.65646942335	116555.2978515625	3819284.0	-605.0000721216288	-8388608.0	3.0775741431205446	42672.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	281.25	-8442767.0	-608.9061074144969	116559.2041015625	3819412.0	-605.0000721216288	-8388608.0	3.9060352928680535	54159.0	128.0	128.0	128.0	128.0	
-577.7993277072105	-8011457.0	285.15625	-8065876.0	-581.7241146235602	116563.1103515625	3819540.0	-605.0000721216288	-8388608.0	3.924786916349759	54419.0	128.0	128.0	128.0	128.0	
-553.0561999149561	-7668382.0	289.0625	-7716489.0	-556.525755110473	116567.0166015625	3819668.0	-605.0000721216288	-8388608.0	3.4695551955169677	48107.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	292.96875	-8434722.0	-608.3258889109957	116570.9228515625	3819796.0	-605.0000721216288	-8388608.0	3.3258167893668165	46114.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	296.875	-8437062.0	-608.494653522331	116574.8291015625	3819924.0	-605.0000721216288	-8388608.0	3.4945814007021667	48454.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	300.78125	-8437194.0	-608.5041735773294	116578.7353515625	3820052.0	-605.0000721216288	-8388608.0	3.5041014557005714	48586.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	304.6875	-8432007.0	-608.1300786888694	116582.6416015625	3820180.0	-605.0000721216288	-8388608.0	3.1300065672405446	43399.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	308.59375	-8423514.0	-607.5175496956766	116586.5478515625	3820308.0	-605.0000721216288	-8388608.0	2.5174775740477533	34906.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	312.5	-8420167.0	-607.276158604164	116590.4541015625	3820436.0	-605.0000721216288	-8388608.0	2.2760864825351814	31559.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	316.40625	-8423007.0	-607.4809840298873	116594.3603515625	3820564.0	-605.0000721216288	-8388608.0	2.4809119082584274	34399.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	320.3125	-8424958.0	-607.6216933276288	116598.2666015625	3820692.0	-605.0000721216288	-8388608.0	2.621621205999995	36350.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	324.21875	-8425397.0	-607.6533547226613	116602.1728515625	3820820.0	-605.0000721216288	-8388608.0	2.653282601032567	36789.0	128.0	128.0	128.0	128.0	
